pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
68619,KIA,윤중현,KIA19윤중현,19,투수,우언우타,1995년 04월 25일,180cm/84kg,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65,0,0,0,0,48,159,0.250,4,0,1,0,2,1,0
67640,KIA,유승철,KIA148유승철,148,투수,우투양타,1998년 03월 02일,184cm/87kg,4.50,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.50,0,0,0,0,11,40,0.333,0,0,0,0,0,1,0
55610,KIA,김태형,KIA10김태형,10,투수,우투우타,2006년 12월 15일,184cm/95kg,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35,0,0,0,0,107,422,0.272,4,0,3,0,0,1,1
65665,KIA,이준영,KIA20이준영,20,투수,좌투좌타,1992년 08월 10일,177cm/85kg,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38,0,0,0,1,145,569,0.273,10,0,1,0,2,1,0
69745,KIA,김도현,KIA60김도현,60,투수,우투우타,2000년 09월 15일,183cm/87kg,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45,0,0,9,0,561,2068,0.296,28,4,7,7,0,5,1
77637,KIA,양현종,KIA54양현종,54,투수,좌투좌타,1988년 03월 01일,183cm/91kg,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49,0,0,11,0,677,2497,0.285,23,4,8,8,1,10,0
52641,KIA,황동하,KIA41황동하,41,투수,우투우타,2002년 07월 30일,183cm/96kg,5.30,18,1,2,0,0,0.333,35 2/3,38,4,10,3,31,21,21,1.35,0,0,0,1,155,576,0.277,14,1,3,2,0,0,0
53613,KIA,윤영철,KIA13윤영철,13,투수,좌투좌타,2004년 04월 20일,187cm/87kg,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64,0,0,1,0,227,888,0.269,7,0,1,2,0,4,0
50641,KIA,장재혁,KIA38장재혁,38,투수,우투우타,2001년 08월 02일,180cm/86kg,6.00,3,0,0,0,0,-,3,3,1,3,0,2,2,2,2.00,0,0,0,0,13,63,0.300,0,0,0,0,0,0,0
51994,KIA,한재승,KIA55한재승,55,투수,우투우타,2001년 11월 21일,180cm/90kg,6.48,36,1,1,1,1,0.500,33 1/3,40,5,31,1,35,29,24,2.13,0,0,0,0,161,685,0.317,4,0,1,2,0,4,0
52639,KIA,최지민,KIA39최지민,39,투수,좌투좌타,2003년 09월 10일,185cm/100kg,6.58,66,2,4,0,9,0.333,53 1/3,46,5,51,4,39,40,39,1.82,0,0,0,0,253,1042,0.238,7,1,2,3,0,4,0
